distance_nm,estimated_cost_usd,delay_hours,weather_severity,congestion_score,incident_score,risk_score
30,16793.317291692194,5.092104087178091,0.23047170797544314,0.22520190725114053,0.1600360956645166,13.741126049299341
30,18536.027552665262,4.351157813686701,0.21278404031672854,0.3120508889187701,0.0986559073996569,19.220498679850362
30,19693.88415819976,3.681716165354331,0.2066030697561216,0.4852689448361639,0.13740074738016367,18.38737533680174
30,22315.397553687893,4.063577904389605,0.28784503013072726,0.34400889068164964,0.08521101091637916,19.272103216141467
30,17172.023800025552,3.1314112973616863,0.15716721778368928,0.30774397394141245,0.1425847348442679,17.403736291905716
30,19158.201611037588,4.111379118104606,0.41416476008704617,0.3012301980338461,0.05902058167427702,25.90490241944833
30,18954.057088895683,5.009441984047531,0.1886052542345125,0.2491812227644966,0.034041502744700844,14.507416911385429
30,20499.721675042347,3.8649843117907325,0.13344902927113056,0.37785935876800636,0.10933486473125827,16.393413575129603
30,20642.54188534591,4.994552569776096,0.2678913563071895,0.35810948833866696,0.12312955189519874,19.54441634522641
30,20410.93865927997,3.34359022060792,0.15296273457072046,0.27333465821079894,0.07798861990186531,16.253490617480566
30,19723.005112696108,4.660738201973988,0.031713022838419536,0.309813796401707,0.11302024520840045,13.331346270757885
30,21576.439361589444,4.225585931173908,0.16512749277515626,0.29451778488025193,0.16863807050057233,13.561806285729507
30,19709.302559750056,4.985749544180685,0.10805477139983888,0.4096592892864517,0.11139405888564523,16.0632596731605
30,16343.086060743322,3.5009187597231115,0.2625590393967337,0.31287841523357135,0.13654201900459292,18.594656081114632
30,17159.56624709296,4.503134325310091,0.08041603544109605,0.4084366976942698,0.06244781278378209,14.44290839362113
30,18479.41944648636,4.890847779356665,0.26653851089727865,0.3381817418588691,0.0661361350364677,14.00120031280331
30,17874.98075719497,5.099121401432249,0.06773003876455977,0.2303303806878222,0.13198193813787493,15.110686649510663
30,16807.263061567046,3.816724685535477,0.1643736028938574,0.43850186821605036,0.025310585599209845,14.47759661158597
